target_Z,incident_energy,recoil_energy,recoil_px,recoil_py,recoil_pz,centerMomentum_energy,centerMomentum_px,centerMomentum_py,centerMomentum_pz
74,3.827,0.203944,4.82e-05,-0.00548591,0.20387,3.827,0.00500395,-0.00220982,3.82691
74,3.827,0.00186026,5.60683e-05,4.39731e-05,0.00178728,3.827,0.000128299,-0.000213714,3.82691
74,3.827,0.283592,0.00484678,-0.00681691,0.283468,3.827,-0.000133792,-0.000266667,3.82685
74,3.827,0.82031,-0.00167019,0.00125213,0.820307,3.827,0.00105034,0.00332745,3.82698
74,3.827,0.0103069,0.000483168,0.000388873,0.0102755,3.827,6.11468e-05,-2.5649e-05,3.82696
74,3.827,0.0407774,-0.000561763,6.19837e-06,0.0407703,3.827,8.54805e-05,-7.75776e-05,3.82698
74,3.827,3.17573,0.00392944,0.00937716,3.17571,3.827,0.00350459,0.00408704,3.82689
74,3.827,0.00155118,4.47993e-05,0.000760382,0.00125094,3.827,-0.000354924,0.00130777,3.82669
74,3.827,1.36029,0.00694229,-0.00682343,1.36026,3.827,0.01204,-0.00841822,3.82694
74,3.827,0.0340029,0.000381496,-0.00118085,0.0339764,3.827,-7.76574e-05,4.60799e-06,3.82696
74,3.827,0.590668,-0.0104691,0.0140491,0.590407,3.827,-0.00788478,0.0174894,3.82672
74,3.827,1.04964,0.0031601,-2.41039e-05,1.04964,3.827,0.000104802,-6.62513e-05,3.82698
74,3.827,0.0504906,-0.00131175,-0.00217525,0.050424,3.827,-0.000268634,-0.0012395,3.82692
74,3.827,1.80899,-0.0129671,-0.00230574,1.80894,3.827,-0.0222066,-0.00399496,3.8269
74,3.827,0.700649,-0.000398961,-0.00149828,0.700647,3.827,1.28981e-05,-0.000163149,3.82698
74,3.827,1.10362,-0.00240754,0.00391937,1.10361,3.827,-0.000801996,0.00309927,3.82697
74,3.827,2.97555,0.00210735,0.0391332,2.9753,3.82699,0.00471654,0.0451795,3.82665
74,3.827,0.0355043,-8.14981e-05,-0.000171172,0.0355001,3.827,9.28e-06,-5.6198e-05,3.82698
74,3.827,0.467363,-0.00234513,-0.0029241,0.467347,3.827,-0.00335754,-0.00078339,3.82697
74,3.827,0.0221303,-0.000931515,0.00228914,0.021986,3.827,-0.00322284,0.00117623,3.82684
74,3.827,0.00856488,-0.000477964,0.00057094,0.00851714,3.827,-0.000743044,-0.00025307,3.82694
74,3.827,0.0320027,-5.71332e-05,0.000613157,0.0319927,3.827,0.000317688,9.257e-05,3.82698
74,3.827,1.44619,-0.00979251,-0.00106087,1.44616,3.827,-0.000301971,-8.38127e-05,3.82693
74,3.827,1.40121,-0.00571461,-0.00305151,1.4012,3.827,0.000190948,4.84232e-05,3.82696
74,3.827,0.0382582,-0.000447968,0.000418138,0.0382499,3.827,-0.000307155,0.000528035,3.82698
74,3.827,0.213183,-0.000429145,-9.64538e-05,0.213182,3.827,-6.17489e-05,-3.91945e-05,3.82699
74,3.827,0.935623,-0.00112472,-6.56951e-05,0.935622,3.827,-0.000494719,-0.00083713,3.82698
74,3.827,0.174114,0.00570009,-0.0060962,0.173913,3.827,0.00555704,-0.00733773,3.82678
74,3.827,0.144767,-0.000116479,0.000502218,0.144766,3.827,-0.000175905,0.000290222,3.82698
74,3.827,0.414934,0.00190057,-0.000105111,0.414929,3.827,-0.000269248,-0.00102003,3.82698
74,3.827,0.540697,-0.00277097,0.00108141,0.540688,3.827,-1.70192e-05,0.000104371,3.82698
74,3.827,0.00265139,-4.04064e-05,9.65232e-05,0.00259958,3.827,0.000184426,0.000158906,3.82694
74,3.827,0.190113,-0.00118389,-0.000643314,0.190108,3.827,0.000606126,-0.00130512,3.82698
74,3.827,0.132554,-0.000713229,-0.00246702,0.132528,3.827,-0.000681336,0.000351286,3.82696
74,3.827,0.3407,0.00171477,-0.00341282,0.340678,3.827,0.00177741,-0.00231847,3.82696
74,3.827,0.774242,-0.0044626,-7.46636e-05,0.774229,3.827,-0.000436196,-0.0014084,3.82697
74,3.827,0.341278,-0.00398691,0.0132231,0.340998,3.827,0.00169879,0.00492486,3.82669
74,3.827,0.325253,-0.00585007,0.00351994,0.325181,3.827,0.000101543,0.000684395,3.82691
74,3.827,0.335382,-0.000751587,0.000283028,0.33538,3.827,-0.00073096,0.00108171,3.82698
74,3.827,0.0821941,0.000604806,0.00219561,0.082161,3.827,-0.00324373,-8.33355e-05,3.82695
74,3.827,0.143439,-0.00189752,0.00221288,0.143408,3.827,-0.00256356,0.000767087,3.82696
74,3.827,0.0409022,0.00011449,-0.000124199,0.0408987,3.827,0.000313162,7.98735e-05,3.82698
74,3.827,0.0146997,-8.21541e-05,0.00142294,0.0146215,3.827,-7.03258e-05,-0.000418496,3.82691
74,3.827,1.21935,-0.0106823,-0.00740008,1.21928,3.827,-0.00346957,-0.00354629,3.8269
74,3.827,1.0597,0.00457184,0.00623678,1.05967,3.827,-0.00663832,0.00503033,3.82693
74,3.827,0.0921067,-0.000702011,-0.00237943,0.0920718,3.827,-0.000235342,-1.11474e-05,3.82695
74,3.827,0.0219206,0.000412338,0.00127685,0.0218735,3.827,0.000711717,0.00155528,3.82694
74,3.827,0.0566142,0.0032553,0.00508806,0.0562887,3.827,0.00226548,0.0012308,3.82666
74,3.827,0.0988332,-0.000972675,-0.000954325,0.0988225,3.827,0.000121064,-0.000135765,3.82698
74,3.827,1.56909,0.00195722,-0.00709004,1.56907,3.827,-0.000301131,0.000182383,3.82695
74,3.827,0.127815,-0.00619092,-0.000386528,0.127663,3.827,-0.00177927,-0.000966286,3.82683
74,3.827,0.0812646,0.00160585,-0.00157618,0.0812319,3.827,-0.000516874,-0.000446347,3.82695
74,3.827,0.0109577,-0.00270454,0.0010624,0.010553,3.827,-0.00163632,-0.00158863,3.82658
